52 54 131 103
49 52 124 123
52 54 122 127
52 54 126 124
50 56 117 135
47 53 116 132
39 43 108 126
27 31 120 126
16 19 123 126
7 11 90 136
3 8 110 122
22 26 90 127
38 38 116 125
51 54 90 127
57 65 121 117
61 63 114 123
50 40 105 134
47 23 113 124
50 12 113 126
49 41 117 121
53 60 117 116
58 65 103 101
54 64 136 141
58 60 164 160
57 59 172 165
57 59 144 141
56 65 119 113
56 66 109 108
35 33 90 121
22 28 110 114
63 70 115 94
59 69 133 133
59 65 141 171
56 62 117 138
43 49 112 111
8 13 90 120
-12 -11 102 90
-7 -25 90 90
-5 -66 90 90
3 5 126 108
26 28 118 118
58 62 90 125
57 60 121 147
57 54 118 -167
47 53 117 90
-2 8 92 111
20 26 113 90
56 65 102 124
65 69 150 154
