60 57 122 121
63 54 127 107
64 50 125 112
64 50 119 116
55 59 120 120
55 56 123 116
43 38 123 116
31 22 120 118
15 17 122 116
-2 31 123 114
-8 21 119 143
21 25 122 141
39 49 120 142
55 50 123 140
70 60 123 140
68 54 123 140
61 31 123 140
58 14 134 130
57 7 131 133
60 37 126 138
66 53 131 133
73 53 119 143
66 62 150 133
66 60 171 156
63 73 180 163
60 70 152 144
63 70 122 107
64 68 122 110
41 31 127 104
25 25 125 116
73 60 123 112
68 62 141 128
63 73 147 172
63 73 127 137
44 59 116 104
-1 34 114 104
-35 2 112 104
-19 -23 114 107
-26 -79 116 104
-11 4 117 107
25 25 122 104
60 64 116 101
57 73 119 131
53 60 110 -159
48 54 110 107
-7 11 114 101
13 26 114 104
70 59 117 110
66 70 154 147
